ID,Males,Females,Gender,Age,Q1,Q3a,Q3b,Q3c,Q3d,Q3e,Q5,Q6,Q7,Q8,Q9,Q11,Q13,Q15,Q17,Q20,Q21,Q22,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q34,Q36,Q40,Q41,Q43,Q45,Q47a,Q47b,Q47c,Q47d,Q48,Q49,Q50,Q51,Q54,Q55,Q58,Q60,Q61a,Q61b,Q61c,Q62,Q63a,Q63b,Q63c,Q64a,Q64b,Q64c,Q64d,Q64e,Q65,Q66a,Q66b,Q66c,Q66d,Q66e,Q66f,Q66g,Q67a,Q67b,Q67c,Q67d,Q68,Q70,Q75,Q76a,Q76b,Q76c,Q76d,Q76e,Q76f,Q81,Q83,Q84,Q86,Q88,Q90,Q92,Q93,Q95,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q119,Q121,Q122,Q123,Q124,Q125,Q126,Q128,Q129,Q130,Q131,Q134,Q135,Q136,Q137a,Q137b,Q137c,Q138a,Q138b,Q138c,Q138d,Q139a,Q139b,Q139c,Q139d,Q140,Q141,Q142,Q143,Q144,Q145a,Q145b,Q145c,Q146d,Q146a,Q146b,Q146c,Q148,Q149,Q152a1,Q152a2,Q152b1,Q152b2,Q152c1,Q152c2,Q152d1,Q152d2,Q152e1,Q152e2,Q152f1,Q152f2,Q152g1,Q152g2,Q152h1,Q152h2,Q152i1,Q152i2,Q152j1,Q152j2,Q152k1,Q152k2,Q152l1,Q152l2,Q152m1,Q152m2,Q152n1,Q152n2,Q152o1,Q152o2,Q152q1,Q152q2,Q152r1,Q152r2,Q152s1,Q152s2,Q153,Q154,Q155,Q156,Q157,Q158,Q159,Q160,Q161,Q162,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q170,Q171a1,Q171a2,Q171a3,Q171b1,Q171b2,Q171b3,Q171c1,Q171c2,Q171c3,Q171d1,Q171d2,Q171d3,Q171e1,Q171e2,Q171e3,Q171f1,Q171f2,Q171f3,Q171g1,Q171g2,Q171g3,Q171h1,Q171h2,Q171h3,Q172,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q189,Q190,Q191,Q192,Q193,Q194,Q195,Q196,Q197,Q198,Q199,Q200,Q201,Q202,Q203,Q204,Q205,Q206,RA,TopCharacteristic
10,0.458504408,0.775819615,0,12.58504408,2,1,1,2,0,1,0,,1,1,0,,0,,1,1,0,0,1,0,1,0,1,1,0,0,,1,0,1,0,1,2,1,2,2,0,,,1,1,1,1,2,2,2,0,0,,,,0,1,1,1,1,0,,,,,,,,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,2,0,0,1,2,0,0,,0,2,1,2,1,0,0,0,0,1,1,1,1,1,1,2,0,1,2,1,1,0,1,0,1,1,0,0,0,1,1,0,1,2,2,2,2,1,1,1,2,1,1,1,1,0,,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,2,1,2,2,1,0,1,,,,,,1,2,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,2,1,1,1,0,1,0,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,SAMHP
11,0.803805179,0.550080811,1,13.50080811,2,1,2,2,1,0,1,0,0,1,0,,1,0,1,0,,0,0,,0,1,0,,0,0,,1,0,0,0,0,2,2,1,1,0,,,0,2,0,1,2,2,2,1,1,2,2,2,0,1,2,0,2,0,,,,,,,,1,1,1,2,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,2,0,0,1,1,0,1,1,0,2,2,2,1,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,1,0,1,0,1,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,2,1,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,0,,0,,0,0,1,1,2,2,0,0,1,,,,,,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,2,1,2,0,1,1,1,0,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,SAMHP
12,0.785324317,0.718675148,1,15.18675148,1,1,2,0,2,1,1,0,0,1,1,0,0,,1,1,1,1,0,,0,0,1,1,0,0,,0,1,1,1,1,2,2,2,2,0,,,2,1,0,1,1,1,1,0,1,2,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,1,1,0,1,1,0,1,1,0,,,,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,2,2,1,2,0,1,1,0,1,2,1,0,0,1,1,2,2,2,1,1,2,1,1,0,1,0,0,,1,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,0,,0,,0,,1,1,1,1,1,0,0,0,2,1,2,0,0,1,1,,,,,,0,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,2,1,2,2,0,1,2,1,0,2,1,2,1,0,2,2,1,1,2,2,1,0,1,2,1,0,1,SAMHP
13,0.58032339,0.75726246,1,15.5726246,1,2,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,0,1,2,1,2,2,1,1,0,,1,0,1,2,1,0,2,1,2,0,0,1,0,1,1,2,1,0,1,1,2,0,2,2,0,2,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,2,2,0,1,1,1,2,2,1,2,1,1,0,1,1,1,1,1,1,1,2,0,1,1,2,2,1,1,1,0,1,2,1,0,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,0,0,0,2,2,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,2,0,0,0,2,2,2,1,1,2,1,1,0,2,2,1,2,1,2,2,2,1,2,0,1,SAMHP
14,0.763221441,0.837917177,1,16.37917177,1,2,0,2,2,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,,1,0,0,2,1,2,1,1,2,0,1,1,1,2,1,2,0,,,,,,,,0,2,2,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,2,1,0,1,2,0,1,1,0,1,0,2,1,0,0,0,0,1,1,1,1,1,0,2,1,2,1,2,1,1,2,0,0,1,2,1,0,1,2,1,1,2,1,0,1,1,0,0,1,0,0,0,,1,1,1,0,0,,0,,0,,0,,0,,0,,0,,0,,1,0,0,,0,,0,,0,,0,,1,1,1,0,2,1,0,1,0,0,0,0,0,2,2,2,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,1,2,0,1,1,1,1,0,0,2,1,0,0,0,0,1,0,1,2,2,1,2,0,2,2,1,1,1,JJH
15,0.539926404,0.212380371,0,13.39926404,1,2,1,2,0,1,0,,1,0,0,,0,,0,0,,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,2,2,0,2,1,1,1,2,2,1,0,1,1,1,0,0,,,,1,1,2,1,1,1,0,0,1,2,2,1,2,1,2,0,2,0,,,,,,,,,0,,,,1,0,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,1,1,1,1,2,2,2,1,1,2,2,0,0,0,1,1,1,2,2,1,1,1,1,1,2,1,1,0,2,2,1,1,1,0,,1,1,1,1,0,,1,1,0,,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2,1,2,1,0,1,2,2,2,2,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,2,1,1,2,1,2,1,1,2,2,2,0,1,0,1,0,1,2,2,0,0,2,1,1,0,1,0,2,2,1,PSSN
16,0.558489224,0.74827151,1,15.4827151,2,2,0,0,0,1,1,1,0,1,0,,1,1,1,0,,1,1,1,0,0,0,,1,1,2,1,1,1,1,1,2,2,2,2,1,0,1,2,1,0,1,1,2,1,1,1,0,2,2,1,0,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,0,1,1,0,1,1,0,,,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,0,,1,2,1,0,2,1,0,1,1,1,1,1,0,0,,1,2,2,2,1,1,2,2,0,2,0,2,2,0,0,0,0,1,0,2,1,1,2,0,1,2,1,1,0,,0,,0,,0,,1,0,0,,1,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,0,2,2,2,2,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,2,0,2,0,1,2,2,2,2,2,2,1,0,0,2,2,1,1,2,1,1,1,2,1,1,1,0,0,2,1,2,1,JJH
17,0.774434555,0.603386303,0,15.74434555,0,2,1,1,1,1,0,,0,0,0,,0,,0,0,,0,0,,0,1,1,0,0,0,,0,0,1,1,1,2,1,2,2,0,,,2,1,0,0,1,2,1,0,1,2,0,2,1,0,2,0,2,1,0,0,1,2,1,0,1,1,1,2,0,0,,,,,,,,,0,,,,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,2,2,1,1,1,1,2,2,2,0,0,0,0,0,1,1,1,0,0,,1,2,1,1,2,1,1,1,1,0,1,2,1,0,2,2,2,0,2,2,1,2,2,1,0,2,1,1,0,,1,0,0,,0,,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,0,,0,1,1,2,2,2,0,1,1,,,,,,1,2,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0,1,2,1,1,0,1,2,2,1,0,1,2,0,0,1,1,0,1,2,0,0,2,1,1,1,2,0,VBA
18,0.566814323,0.466317502,0,13.66814323,1,1,2,2,0,0,0,,1,1,1,1,1,1,0,1,1,1,0,,0,0,0,,0,0,,1,1,0,1,1,0,2,1,1,1,0,1,2,2,1,1,2,1,2,0,1,1,2,2,0,0,2,1,1,1,0,0,0,2,1,2,1,0,2,0,1,1,1,1,1,1,1,1,1,1,0,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,1,0,1,2,1,0,0,0,1,1,1,1,0,,2,0,1,2,0,2,1,2,1,1,0,1,2,1,1,2,1,2,2,2,0,0,1,0,1,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,0,,0,1,1,1,2,1,1,0,0,2,2,2,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,1,2,2,1,2,1,2,1,2,1,1,2,0,2,0,0,0,1,2,0,2,2,1,1,0,0,2,1,JJH
19,0.957922609,0.263843484,0,17.57922609,2,2,0,2,0,1,1,1,1,1,1,1,0,,0,1,0,0,1,1,0,0,0,,1,1,1,0,0,1,1,0,1,2,2,1,0,,,0,1,1,1,2,1,1,1,1,1,2,2,0,1,2,1,2,0,,,,,,,,1,0,2,1,0,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,,0,0,1,1,2,0,0,1,0,1,0,0,0,0,,0,2,2,2,0,0,0,1,0,2,0,0,1,1,1,0,1,1,2,0,0,1,1,1,1,0,2,0,0,,1,0,1,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,1,1,1,0,0,,0,1,1,2,2,1,1,1,1,,,,,,0,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,2,1,1,0,1,2,1,1,1,2,0,1,1,2,2,1,1,1,0,1,1,1,1,2,1,1,1,2,2,1,FLA
20,0.543291961,0.772781562,0,13.43291961,1,0,2,1,2,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,1,0,1,0,,1,0,0,1,0,2,1,1,2,0,,,2,1,1,0,1,2,0,1,1,1,2,0,0,1,0,2,2,1,0,0,0,2,2,1,0,0,2,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,2,1,0,2,0,1,0,,1,2,0,2,2,1,0,0,1,0,0,1,0,0,,1,0,1,0,2,1,2,0,1,2,1,1,0,1,2,2,0,0,2,1,1,2,1,0,0,0,1,0,1,0,1,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,1,0,0,,,,,,0,2,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0,1,0,1,2,1,2,0,1,0,2,1,2,0,1,1,1,1,1,0,0,2,1,2,1,2,1,0,PSSN
21,0.96057024,0.569632431,0,17.6057024,1,1,0,0,2,1,1,0,0,1,0,,1,0,0,1,1,0,1,1,1,1,1,1,0,0,,0,0,1,1,0,2,2,1,2,0,,,2,1,0,0,2,1,2,1,1,2,2,2,1,1,1,2,2,0,,,,,,,,1,2,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,,,,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,0,0,0,2,0,0,0,0,1,1,2,2,0,1,2,2,2,2,1,1,1,2,2,0,0,,0,,0,,1,0,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,,1,0,0,,0,,0,0,1,2,1,1,1,0,0,,,,,,0,2,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,1,0,1,2,1,0,0,0,2,2,1,2,1,2,2,2,2,0,2,0,1,0,1,0,2,1,0,JJH
